name,loc,AbstractClassWithoutAbstractMethod,AccessorClassGeneration,AccessorMethodGeneration,SimplifyBooleanExpressions,SimplifyBooleanReturns,ConstantsInInterface,ConstructorCallsOverridableMethod,DataClass,AvoidDeeplyNestedIfStmts,FieldDeclarationsShouldBeAtStartOfClass,GodClass,ImmutableField,AvoidSynchronizedAtMethodLevel,EmptyMethodInAbstractClassShouldBeAbstract,AvoidProtectedFieldInFinalClass,AvoidProtectedMethodInFinalClassNotExtending,AvoidReassigningParameters,CloseResource,SingletonClassReturningNewInstance,SwitchDensity,SwitchStmtsShouldHaveDefault,TooFewBranchesForASwitchStatement,UncommentedEmptyConstructor,UncommentedEmptyMethodBody,UnnecessaryLocalBeforeReturn,bug
src/org/apache/xalan/xsltc/compiler/util/Type.java,339,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
src/org/apache/xalan/xsltc/compiler/Instruction.java,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/org/apache/xalan/xsltc/compiler/SyntaxTreeNode.java,1164,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
src/org/apache/xalan/xsltc/compiler/RelativeLocationPath.java,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/org/apache/xalan/xsltc/compiler/Expression.java,233,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
src/org/apache/xml/dtm/DTMAxisTraverser.java,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
src/org/apache/xpath/Expression.java,275,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
src/org/apache/xpath/axes/LocPathIterator.java,665,0,0,0,0,0,0,0,0,0,12,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1
src/org/apache/xml/dtm/ref/DTMAxisIteratorBase.java,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/org/apache/xalan/xsltc/compiler/LocationPathPattern.java,107,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
src/org/apache/xalan/xsltc/compiler/Pattern.java,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
src/org/apache/xml/utils/synthetic/reflection/EntryPoint.java,827,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
src/org/apache/xalan/xsltc/compiler/RelativePathPattern.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
src/org/apache/xml/serializer/ToSAXHandler.java,363,0,0,0,0,0,0,3,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,1,1,0,3
