name,loc,AbstractClassWithoutAbstractMethod,AccessorClassGeneration,AccessorMethodGeneration,SimplifyBooleanExpressions,SimplifyBooleanReturns,ConstantsInInterface,ConstructorCallsOverridableMethod,DataClass,AvoidDeeplyNestedIfStmts,FieldDeclarationsShouldBeAtStartOfClass,GodClass,ImmutableField,AvoidSynchronizedAtMethodLevel,EmptyMethodInAbstractClassShouldBeAbstract,AvoidProtectedFieldInFinalClass,AvoidProtectedMethodInFinalClassNotExtending,AvoidReassigningParameters,CloseResource,SingletonClassReturningNewInstance,SwitchDensity,SwitchStmtsShouldHaveDefault,TooFewBranchesForASwitchStatement,UncommentedEmptyConstructor,UncommentedEmptyMethodBody,UnnecessaryLocalBeforeReturn,bug
org/gjt/sp/jedit/gui/EnhancedDialog.java,56,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org/gjt/sp/jedit/EditPlugin.java,28,1,0,0,0,0,0,0,1,0,6,0,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0
org/gjt/sp/jedit/gui/OptionsDialog.java,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org/gjt/sp/jedit/EBPlugin.java,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
org/gjt/sp/jedit/io/VFS.java,679,1,0,0,0,0,0,0,0,0,6,1,1,0,6,0,0,0,0,0,0,0,0,0,4,0,1
gnu/regexp/REToken.java,65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org/gjt/sp/util/WorkRequest.java,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org/gjt/sp/jedit/gui/InputHandler.java,460,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
org/gjt/sp/jedit/EditAction.java,49,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bsh/ReflectManager.java,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bsh/BshClassManager.java,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org/gjt/sp/jedit/textarea/TextAreaExtension.java,11,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0
org/gjt/sp/jedit/textarea/Selection.java,117,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
org/gjt/sp/jedit/EBMessage.java,45,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
org/gjt/sp/jedit/search/BufferListSet.java,149,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1
org/gjt/sp/jedit/buffer/FoldHandler.java,141,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
